modul,price,score
  16    Vivobook 16 D1603QA - MB005W R5 12GB 512SSD Radeon -  ,28934000,
  15.6    Vivobook F512J-UH51T-i5 12GB 256SSD -  ,28900000,5
  16    VivoBook 16X M1603QA-MB511 R5 512GB 16GB VEGA8 -  ,28599000,3.5
  15.6    VivoBook X515EP-EJ338-D -  ,28570000,
  16    Vivobook 16 R1605ZA-MB118,29150000,2
  15.6    Vivobook F512J-UH51T-i5 8GB 512SSD -  ,28500000,
  15.6    Vivobook F512J-UH51T-i5 12GB 1SSD -  ,28500000,
  15.6    VivoBook X515EP-EJ441- I7 16GB 512 MX330 -  ,28400000,5
  15.6    Vivobook R565JP-i7 8GB 1TB MX330,28400000,3
  16    Vivobook 16 R1605ZA-MB117,28400000,
  16    Vivobook 16 D1603QA - MB005W R5 8GB 256SSD Radeon -  ,28300000,
  15.6    Vivobook F512J-UH51T - I5 512SSD 20GB -  ,28025000,4
  15.6    Vivobook X515EP-EJ338-i5 24GB 1SSD MX330 -  ,28000000,5
  15.6    Vivobook F512J-UH51T-i5 12GB 512SSD -  ,28000000,
  15.6    X515EP-BQ222,27990000,3.9
  15.6    Vivobook F512J-UH51T,27990000,4
  15.6    Vivobook R565EP-EJ615-i5 8GB 1HDD 512SSD MX330 -  ,27899000,
  15.6    X515EP-EJ742-i5 12GB 1HDD 512SSD MX330 -  ,27760000,
  16    Vivobook 16 R1605ZA-MB117,27690000,2
  15.6    X515EP-BQ222-W,27540000,1
  15.6    R565EP-EJ617,27400000,3.8
  15.6    X515EP-EJ441,27000000,4.1
  15.6    X515EP-BQ222-i5 16GB 512SSD MX330,26990000,
  15.6    Vivobook R565EP-EJ615-i5 16GB 512SSD MX330 -  ,26880000,
  16    Vivobook 16 D1603QA-MB005W,26839800,
  15.6    X515EP-EJ194-i5 24GB 1SSD MX330 -  ,26700000,
  15.6    VivoBook X515EP-EJ338,26700000,3
  15.6    Vivobook X515EP-EJ338-i5 16GB 1SSD MX330 -  ,26640000,3.3
  15.6    X515EP-EJ194-i5 8GB 1HDD 512SSD MX330 -  ,26420000,
  15.6    VivoBook X515EP-EJ441-FHD,26400000,3.8
  15.6    X1500EP-EJ005W i5 12GB 512SSD MX330 -  ,25970000,
  15.6    Vivobook X515JA-EJ2411W-i5 20GB 1SSD UHD -  ,25850000,4
  15.6    P1512CEA-EJ0484,25700000,3.6
  15.6    Vivobook R565EP-EJ615,25699000,
  15.6    Vivobook R565EP-EJ627-i3 12GB 512SSD MX330 -  ,25650000,
  15.6    Vivobook R565EP-EJ615-i5 8GB 512SSD MX330,25600000,
  15.6    R565EP-BQ447,25480000,5
  15.6    X515EP-EJ194-i5 16GB 1SSD MX330 -  ,25470000,
